"species","preferred_species_name","tvk","rtvk","seasonal_recording_period","additional_checks_required","id_difficulty"
"Osmia spinulosa","Osmia spinulosa","NHMSYS0020774747","NHMSYS0020774747","05-01 to 09-30",,
"Hoplitis (Anthocopa) spinulosa","Osmia spinulosa","NHMSYS0000876070","NHMSYS0020774747",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Osmia uncinata","Osmia uncinata","NHMSYS0000876519","NHMSYS0000876519","05-01 to 07-31","1: This is a rare species",
"Osmia (Melanosmia) uncinata","Osmia uncinata","NHMSYS0000876499","NHMSYS0000876519",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Osmia xanthomelana","Osmia xanthomelana","NHMSYS0000876520","NHMSYS0000876520","05-01 to 07-31","1: This is a rare species",
"Osmia (Melanosmia) xanthomelana","Osmia xanthomelana","NHMSYS0000876500","NHMSYS0000876520",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Stelis breviuscula","Stelis breviuscula","NHMSYS0000876709","NHMSYS0000876709","06-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Stelis ornatula","Stelis ornatula","NHMSYS0000876711","NHMSYS0000876711","05-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Stelis phaeoptera","Stelis phaeoptera","NHMSYS0000876712","NHMSYS0000876712","05-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Stelis punctulatissima","Stelis punctulatissima","NHMSYS0000876713","NHMSYS0000876713","06-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Dasypoda hirtipes","Dasypoda hirtipes","NHMSYS0000875818","NHMSYS0000875818","05-01 to 09-30",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Macropis europaea","Macropis europaea","NHMSYS0000876276","NHMSYS0000876276","05-01 to 09-30",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Melitta dimidiata","Melitta dimidiata","NHMSYS0000876311","NHMSYS0000876311","06-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Melitta haemorrhoidalis","Melitta haemorrhoidalis","NHMSYS0000876312","NHMSYS0000876312","02-01 to 08-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Melitta leporina","Melitta leporina","NHMSYS0000876313","NHMSYS0000876313","06-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Melitta tricincta","Melitta tricincta","NHMSYS0000876315","NHMSYS0000876315","06-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Mutilla europaea","Mutilla europaea","NHMSYS0000876354","NHMSYS0000876354","02-01 to 11-30","1: This is a rare species","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Myrmosa atra","Myrmosa atra","NHMSYS0000876382","NHMSYS0000876382","04-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Smicromyrme rufipes","Smicromyrme rufipes","NBNSYS0100005540","NBNSYS0100005540","04-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Agenioideus cinctellus","Agenioideus cinctellus","NBNSYS0000009414","NBNSYS0000009414","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Agenioideus sericeus","Agenioideus sericeus","NHMSYS0000875032","NHMSYS0000875032","06-01 to 08-31","2: Records for this species must always be verified (rarity, new arrivals, establishing species)","5: Voucher specimen required to be examined by national expert."
"Anoplius caviventris","Anoplius caviventris","NHMSYS0000875304","NHMSYS0000875304","04-01 to 09-30","1: This is a rare species",
"Anoplius (Anoplius) caviventris","Anoplius caviventris","NHMSYS0000875297","NHMSYS0000875304",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Anoplius concinnus","Anoplius concinnus","NHMSYS0000875305","NHMSYS0000875305","05-01 to 09-30","1: This is a rare species",
"Anoplius (Anoplius) concinnus","Anoplius concinnus","NHMSYS0000875298","NHMSYS0000875305",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Anoplius infuscatus","Anoplius infuscatus","NHMSYS0000875307","NHMSYS0000875307","04-01 to 09-30",,
"Anoplius (Arachnophroctonus) infuscatus","Anoplius infuscatus","NHMSYS0000875301","NHMSYS0000875307",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Anoplius nigerrimus","Anoplius nigerrimus","NHMSYS0000875308","NHMSYS0000875308","04-01 to 10-31",,
"Anoplius (Anoplius) nigerrimus","Anoplius nigerrimus","NHMSYS0000875299","NHMSYS0000875308",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Anoplius (Arachnophroctonus) viaticus","Anoplius viaticus","NHMSYS0000875302","NBNSYS0000009431",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Anoplius viaticus","Anoplius viaticus","NHMSYS0000873209","NBNSYS0000009431","02-01 to 11-30",,
"Aporus unicolor","Aporus unicolor","NBNSYS0000009434","NBNSYS0000009434","07-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Arachnospila anceps","Arachnospila anceps","NBNSYS0000009416","NBNSYS0000009416","04-01 to 10-31",,
"Arachnospila (Ammosphex) anceps","Arachnospila anceps","NHMSYS0000875430","NBNSYS0000009416",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Arachnospila consobrina","Arachnospila consobrina","NBNSYS0000009417","NBNSYS0000009417","06-01 to 08-31","1: This is a rare species",
"Arachnospila (Ammosphex) consobrina","Arachnospila consobrina","NHMSYS0000875431","NBNSYS0000009417",,,"4: Species needs confirmation from national expert."
"Arachnospila minutula","Arachnospila minutula","NHMSYS0000875439","NHMSYS0000875439","05-01 to 09-30","1: This is a rare species",
"Arachnospila (Anoplochares) minutula","Arachnospila minutula","NHMSYS0000875435","NHMSYS0000875439",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Arachnospila rufa","Arachnospila rufa","NBNSYS0000009422","NBNSYS0000009422","06-01 to 09-30","1: This is a rare species",
"Arachnospila (Arachnospila) rufa","Arachnospila rufa","NHMSYS0000875438","NBNSYS0000009422",,,"5: Voucher specimen required to be examined by national expert."
"Arachnospila spissa","Arachnospila spissa","NHMSYS0000875440","NHMSYS0000875440","04-01 to 09-30",,
"Arachnospila (Anoplochares) spissa","Arachnospila spissa","NHMSYS0000875436","NHMSYS0000875440",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Arachnospila trivialis","Arachnospila trivialis","NBNSYS0000009418","NBNSYS0000009418","04-01 to 10-31",,
"Arachnospila (Ammosphex) trivialis","Arachnospila trivialis","NHMSYS0000875432","NBNSYS0000009418",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Arachnospila wesmaeli","Arachnospila wesmaeli","NBNSYS0000009419","NBNSYS0000009419","05-01 to 09-30","1: This is a rare species",
"Arachnospila (Ammosphex) wesmaeli","Arachnospila wesmaeli","NHMSYS0000875433","NBNSYS0000009419",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Auplopus carbonarius","Auplopus carbonarius","NBNSYS0000009398","NBNSYS0000009398","04-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Caliadurgus fasciatellus","Caliadurgus fasciatellus","NBNSYS0000009399","NBNSYS0000009399","05-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ceropales maculata","Ceropales maculata","NHMSYS0000875637","NHMSYS0000875637","04-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ceropales variegata","Ceropales variegata","NHMSYS0000875638","NHMSYS0000875638","06-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Cryptocheilus (Adonta) notatus","Cryptocheilus notatus","NHMSYS0000875814","NBNSYS0000009400",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Cryptocheilus notatus [Genus inferred]","Cryptocheilus notatus","NHMSYS0000875815","NBNSYS0000009400","05-01 to 09-30","2: Records for this species must always be verified (rarity, new arrivals, establishing species)",
"Dipogon bifasciatus","Dipogon bifasciatus","NBNSYS0000009395","NBNSYS0000009395","05-01 to 09-30","1: This is a rare species",
"Dipogon (Deuteragenia) bifasciatus","Dipogon bifasciatus","NHMSYS0000875834","NBNSYS0000009395",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Dipogon subintermedius","Dipogon subintermedius","NBNSYS0000009396","NBNSYS0000009396","04-01 to 10-31",,
"Dipogon (Deuteragenia) subintermedius","Dipogon subintermedius","NHMSYS0000875835","NBNSYS0000009396",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Dipogon variegatus","Dipogon variegatus","NBNSYS0000009397","NBNSYS0000009397","05-01 to 10-31",,
"Dipogon (Deuteragenia) variegatus","Dipogon variegatus","NHMSYS0000875836","NBNSYS0000009397",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Episyron gallicum","Episyron gallicum","NHMSYS0020936558","NHMSYS0020936558",,"1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Episyron rufipes","Episyron rufipes","NHMSYS0000875915","NHMSYS0000875915","05-01 to 10-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Evagetes crassicornis","Evagetes crassicornis","NBNSYS0000009424","NBNSYS0000009424","04-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Evagetes dubius","Evagetes dubius","NHMSYS0000875943","NHMSYS0000875943","04-01 to 10-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Evagetes pectinipes","Evagetes pectinipes","NHMSYS0000875944","NHMSYS0000875944","06-01 to 09-30","2: Records for this species must always be verified (rarity, new arrivals, establishing species)","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Homonotus sanguinolentus","Homonotus sanguinolentus","NHMSYS0000876062","NHMSYS0000876062","06-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Pompilus cinereus","Pompilus cinereus","NBNSYS0000009413","NBNSYS0000009413","05-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Priocnemis agilis","Priocnemis agilis","NBNSYS0000009401","NBNSYS0000009401","05-01 to 10-31","1: This is a rare species",
"Priocnemis (Priocnemis) agilis","Priocnemis agilis","NHMSYS0000876608","NBNSYS0000009401",,,"4: Species needs confirmation from national expert."
"Priocnemis confusor","Priocnemis confusor","NHMSYS0020936612","NHMSYS0020936612","05-01 to 10-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Priocnemis cordivalvata","Priocnemis cordivalvata","NBNSYS0000009402","NBNSYS0000009402","04-01 to 09-30","1: This is a rare species",
"Priocnemis (Priocnemis) cordivalvata","Priocnemis cordivalvata","NHMSYS0000876609","NBNSYS0000009402",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Priocnemis coriacea","Priocnemis coriacea","NBNSYS0000007950","NBNSYS0000007950","04-01 to 08-31","1: This is a rare species",
"Priocnemis (Umbripennis) coriacea","Priocnemis coriacea","NHMSYS0000876619","NBNSYS0000007950",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Priocnemis exaltata","Priocnemis exaltata","NBNSYS0000009403","NBNSYS0000009403","04-01 to 10-31",,
"Priocnemis (Priocnemis) exaltata","Priocnemis exaltata","NHMSYS0000876610","NBNSYS0000009403",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Priocnemis fennica","Priocnemis fennica","NBNSYS0000009404","NBNSYS0000009404","05-01 to 10-31",,
"Priocnemis (Priocnemis) fennica","Priocnemis fennica","NHMSYS0000876611","NBNSYS0000009404",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Priocnemis hyalinata","Priocnemis hyalinata","NBNSYS0000009406","NBNSYS0000009406","06-01 to 10-31","1: This is a rare species",
"Priocnemis (Priocnemis) hyalinata","Priocnemis hyalinata","NHMSYS0000876613","NBNSYS0000009406",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Priocnemis parvula","Priocnemis parvula","NBNSYS0000009407","NBNSYS0000009407","04-01 to 10-31",,
"Priocnemis (Priocnemis) parvula","Priocnemis parvula","NHMSYS0000876614","NBNSYS0000009407",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Priocnemis perturbator","Priocnemis perturbator","NBNSYS0000009411","NBNSYS0000009411","03-01 to 08-31",,
"Priocnemis (Umbripennis) perturbator","Priocnemis perturbator","NHMSYS0000876620","NBNSYS0000009411",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Priocnemis (Priocnemis) propinqua","Priocnemis propinqua","NHMSYS0000876615","NBNSYS0000009408",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Priocnemis pusilla","Priocnemis pusilla","NBNSYS0000009409","NBNSYS0000009409","04-01 to 11-30",,
"Priocnemis (Priocnemis) pusilla","Priocnemis pusilla","NHMSYS0000876616","NBNSYS0000009409",,,"4: Species needs confirmation from national expert."
"Priocnemis schioedtei","Priocnemis schioedtei","NBNSYS0000009410","NBNSYS0000009410","04-01 to 10-31","1: This is a rare species",
"Priocnemis (Priocnemis) schioedtei","Priocnemis schioedtei","NHMSYS0000876617","NBNSYS0000009410",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Priocnemis susterai","Priocnemis susterai","NBNSYS0000009412","NBNSYS0000009412","04-01 to 08-31","1: This is a rare species",
"Priocnemis (Umbripennis) susterai","Priocnemis susterai","NHMSYS0000876621","NBNSYS0000009412",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Monosapyga clavicornis","Monosapyga clavicornis","NHMSYS0000876352","NHMSYS0000876352","05-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sapyga quinquepunctata","Sapyga quinquepunctata","NHMSYS0000876664","NHMSYS0000876664","03-01 to 09-30",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Ammophila pubescens","Ammophila pubescens","NHMSYS0000875038","NHMSYS0000875038","05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Ammophila sabulosa","Ammophila sabulosa","NHMSYS0000875039","NHMSYS0000875039","04-01 to 10-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Podalonia affinis","Podalonia affinis","NHMSYS0000876591","NHMSYS0000876591","03-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Podalonia hirsuta","Podalonia hirsuta","NHMSYS0000876592","NHMSYS0000876592",,"1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Methocha articulata","Methocha articulata","NHMSYS0000876326","NHMSYS0000876326","05-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Tiphia femorata","Tiphia femorata","NHMSYS0000876757","NHMSYS0000876757","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Tiphia minuta","Tiphia minuta","NHMSYS0000876758","NHMSYS0000876758","04-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ancistrocerus antilope","Ancistrocerus antilope","NHMSYS0000875042","NHMSYS0000875042","05-01 to 06-30",,"5: Voucher specimen required to be examined by national expert."
"Ancistrocerus quadratus","Ancistrocerus claripennis","NHMSYS0000875052","NHMSYS0021232117",,"1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Ancistrocerus gazella","Ancistrocerus gazella","NHMSYS0000875045","NHMSYS0000875045","03-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ancistrocerus nigricornis","Ancistrocerus nigricornis","NHMSYS0000875046","NHMSYS0000875046","01-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ancistrocerus oviventris","Ancistrocerus oviventris","NBNSYS0000009451","NBNSYS0000009451","04-01 to 11-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ancistrocerus parietinus","Ancistrocerus parietinus","NHMSYS0000875049","NHMSYS0000875049","01-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ancistrocerus parietum","Ancistrocerus parietum","NHMSYS0000875050","NHMSYS0000875050","03-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ancistrocerus scoticus","Ancistrocerus scoticus","NHMSYS0000875053","NHMSYS0000875053","04-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ancistrocerus trifasciatus","Ancistrocerus trifasciatus","NHMSYS0000875054","NHMSYS0000875054","04-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Dolichovespula (Dolichovespula) media","Dolichovespula media","NHMSYS0000875841","NHMSYS0000875846",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Dolichovespula norwegica","Dolichovespula norwegica","NHMSYS0000875847","NHMSYS0000875847","04-01 to 11-30",,
"Dolichovespula (Pseudovespula) norwegica","Dolichovespula norwegica","NHMSYS0000875843","NHMSYS0000875847",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Dolichovespula saxonica","Dolichovespula saxonica","NHMSYS0000875848","NHMSYS0000875848","01-01 to 11-30",,
"Dolichovespula (Pseudovespula) sylvestris","Dolichovespula sylvestris","NHMSYS0000875845","NHMSYS0000875849",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Eumenes coarctatus","Eumenes coarctatus","NHMSYS0000875934","NHMSYS0000875934","05-01 to 10-31","1: This is a rare species","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Eumenes papillarius","Eumenes coarctatus","NBNSYS0100003105","NHMSYS0000875934","07-01 to 08-31","2: Records for this species must always be verified (rarity, new arrivals, establishing species)","5: Voucher specimen required to be examined by national expert."
"Euodynerus quadrifasciatus","Euodynerus quadrifasciatus","NHMSYS0000875939","NHMSYS0000875939","05-01 to 08-31","1: This is a rare species",
"Euodynerus (Pareuodynerus) quadrifasciatus","Euodynerus quadrifasciatus","NHMSYS0000875938","NHMSYS0000875939",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Gymnomerus laevipes","Gymnomerus laevipes","NBNSYS0000009446","NBNSYS0000009446","01-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Microdynerus exilis","Microdynerus exilis","NHMSYS0000876330","NHMSYS0000876330","05-01 to 08-31","1: This is a rare species","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Odynerus melanocephalus","Odynerus melanocephalus","NHMSYS0000876481","NHMSYS0000876481","05-01 to 07-31","1: This is a rare species",
"Odynerus (Odynerus) melanocephalus","Odynerus melanocephalus","NHMSYS0000876476","NHMSYS0000876481",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Odynerus reniformis","Odynerus reniformis","NHMSYS0000876482","NHMSYS0000876482","06-01 to 07-31","1: This is a rare species",
"Odynerus (Spinicoxa) reniformis","Odynerus reniformis","NHMSYS0000876479","NHMSYS0000876482",,,"5: Voucher specimen required to be examined by national expert."
"Odynerus simillimus","Odynerus simillimus","NHMSYS0000876483","NHMSYS0000876483","05-01 to 08-31","1: This is a rare species",
"Odynerus (Spinicoxa) simillimus","Odynerus simillimus","NHMSYS0000876480","NHMSYS0000876483",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Odynerus spinipes","Odynerus spinipes","NHMSYS0000876484","NHMSYS0000876484","04-01 to 09-30",,
"Odynerus (Odynerus) spinipes","Odynerus spinipes","NHMSYS0000876477","NHMSYS0000876484",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Polistes dominulus","Polistes dominula","NHMSYS0000876596","NHMSYS0021164399","07-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Pseudepipona herrichii","Pseudepipona herrichii","NHMSYS0000876638","NHMSYS0000876638","06-01 to 08-31","1: This is a rare species","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Symmorphus bifasciatus","Symmorphus bifasciatus","NBNSYS0100005641","NBNSYS0100005641","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Symmorphus connexus","Symmorphus connexus","NHMSYS0000876723","NHMSYS0000876723","05-01 to 08-31","1: This is a rare species","4: Species needs confirmation from national expert."
"Symmorphus crassicornis","Symmorphus crassicornis","NHMSYS0000876724","NHMSYS0000876724","05-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Symmorphus gracilis","Symmorphus gracilis","NHMSYS0000876725","NHMSYS0000876725","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Vespa crabro","Vespa crabro","NHMSYS0000876769","NHMSYS0000876769",,,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Vespula austriaca","Vespula austriaca","NHMSYS0000876780","NHMSYS0000876780","04-01 to 09-30","1: This is a rare species",
"Vespula (Vespula) austriaca","Vespula austriaca","NHMSYS0000876778","NHMSYS0000876780",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Vespula (Paravespula) germanica","Vespula germanica","NHMSYS0000876775","NHMSYS0000876781",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Vespula rufa","Vespula rufa","NHMSYS0000876782","NHMSYS0000876782","02-01 to 12-31",,
"Vespula (Vespula) rufa","Vespula rufa","NHMSYS0000876779","NHMSYS0000876782",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Vespula (Paravespula) vulgaris","Vespula vulgaris","NHMSYS0000876776","NHMSYS0000876783",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Coelioxys (Coelioxys) elongata","Coelioxys elongata","NHMSYS0000875691","NHMSYS0000875700",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Colletes (Colletes) hederae","Colletes hederae","NHMSYS0000875715","NBNSYS0100002538",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Dolichovespula (Pseudovespula) saxonica","Dolichovespula saxonica","NHMSYS0000875844","NHMSYS0000875848",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ectemnius (Clytochrysus) sexcinctus","Ectemnius sexcinctus","NHMSYS0000875867","NBNSYS0000009512",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
,,"NHMSYS0020977438",,,"1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
,,"NHMSYS0020758448",,,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
,,"NHMSYS0020977418",,,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
